0, 1
1, 6
2, 1
3, 4
4, 4
5, 6
6, 1
7, 1
8, 0
9, 2
10, 2
11, 4
12, 2
13, 4
14, 1
15, 2
16, 2
17, 4
18, 3
19, 2
20, 3
21, 4
22, 3
23, 1
24, 3
25, 2
26, 4
27, 2
28, 2
29, 2
30, 2
31, 5
32, 3
33, 5
34, 1
35, 2
36, 4
37, 2
38, 2
39, 2
40, 4
41, 7
42, 2
43, 4
44, 0
45, 2
46, 1
47, 0
48, 2
49, 3
50, 0
51, 3
52, 2
53, 5
54, 0
55, 2
56, 4
57, 2
58, 5
59, 5
60, 4
61, 6
62, 2
63, 4
64, 1
65, 4
66, 4
67, 3
68, 5
69, 3
70, 3
71, 3
72, 3
73, 5
74, 1
75, 3
76, 5
77, 4
78, 6
79, 2
80, 5
81, 2
82, 2
83, 5
84, 1
85, 2
86, 3
87, 3
88, 3
89, 3
90, 1
91, 1
92, 3
93, 4
94, 2
95, 0
96, 1
97, 2
98, 1
99, 5
100, 1
101, 3
102, 1
103, 1
104, 3
105, 1
106, 1
107, 1
108, 0
109, 2
110, 5
111, 4
112, 2
113, 3
114, 4
115, 6
116, 3
117, 3
118, 5
119, 5
120, 3
121, 0
122, 2
123, 5
124, 1
125, 3
126, 3
127, 3
128, 2
129, 7
130, 6
131, 4
132, 5
133, 1
134, 0
135, 2
136, 6
137, 4
138, 8
139, 2
140, 4
141, 2
142, 2
143, 6
144, 2
145, 3
146, 2
147, 3
148, 2
149, 3
150, 2
151, 2
152, 4
153, 8
154, 4
155, 5
156, 4
157, 4
158, 5
159, 2
160, 3
161, 9
162, 5
163, 2
164, 3
165, 4
166, 2
167, 6
168, 2
169, 3
170, 3
171, 2
172, 3
173, 3
174, 2
175, 5
176, 5
177, 4
178, 7
179, 4
180, 5
181, 8
182, 6
183, 3
184, 5
185, 8
186, 3
187, 1
188, 7
189, 6
190, 2
191, 4
192, 6
193, 1
194, 2
195, 0
196, 5
197, 3
198, 2
199, 2
200, 4
201, 4
202, 3
203, 5
204, 4
205, 6
206, 3
207, 1
208, 3
209, 3
210, 3
211, 3
212, 2
213, 2
214, 0
215, 4
216, 1
217, 4
218, 4
219, 5
220, 3
221, 4
222, 1
223, 3
224, 9
225, 3
226, 4
227, 5
228, 4
229, 6
230, 4
231, 3
232, 3
233, 3
234, 4
235, 0
236, 5
237, 6
238, 3
239, 6
240, 6
241, 3
242, 2
243, 3
244, 7
245, 4
246, 3
247, 1
248, 4
249, 5
250, 7
251, 2
252, 4
253, 3
254, 3
255, 4
256, 4
257, 5
258, 3
259, 3
260, 4
261, 8
262, 5
263, 4
264, 4
265, 3
266, 5
267, 3
268, 6
269, 3
270, 5
271, 10
272, 11
273, 6
274, 5
275, 5
276, 4
277, 4
278, 7
279, 7
280, 6
281, 4
282, 4
283, 8
284, 5
285, 3
286, 6
287, 8
288, 4
289, 5
290, 6
291, 3
292, 4
293, 4
294, 6
295, 1
296, 6
297, 7
298, 3
299, 4
300, 8
301, 1
302, 7
303, 5
304, 6
305, 2
306, 8
307, 4
308, 12
309, 2
310, 6
311, 5
312, 3
313, 6
314, 2
315, 1
316, 7
317, 3
318, 5
319, 10
320, 4
321, 4
322, 8
323, 2
324, 3
325, 1
326, 3
327, 2
328, 4
329, 1
330, 8
331, 8
332, 2
333, 5
334, 1
335, 3
336, 1
337, 6
338, 3
339, 4
340, 5
341, 5
342, 4
343, 4
344, 6
345, 2
346, 6
347, 5
348, 1
349, 5
350, 3
351, 3
352, 1
353, 2
354, 3
355, 6
356, 8
357, 3
358, 5
359, 5
360, 2
361, 2
362, 3
363, 4
364, 7
365, 7
366, 2
367, 8
368, 5
369, 1
370, 3
371, 0
372, 3
373, 3
374, 3
375, 7
376, 1
377, 7
378, 6
379, 9
380, 3
381, 3
382, 2
383, 6
384, 6
385, 3
386, 1
387, 4
388, 5
389, 4
390, 3
391, 4
392, 5
393, 2
394, 4
395, 2
396, 4
397, 0
398, 5
399, 6
400, 3
401, 6
402, 3
